"size_bits","prime"
"12","2969"
"12","2971"
"12","2999"
"12","3001"
"12","3011"
"12","3019"
"12","3023"
"12","3037"
"12","3041"
"12","3049"
"12","3061"
"12","3067"
"12","3079"
"12","3083"
"12","3089"
"12","3109"
"12","3119"
"12","3121"
"12","3137"
"12","3163"
"12","3167"
"12","3169"
"12","3181"
"12","3187"
"12","3191"
"12","3203"
"12","3209"
"12","3217"
"12","3221"
"12","3229"
"12","3251"
"12","3253"
"12","3257"
"12","3259"
"12","3271"
"12","3299"
"12","3301"
"12","3307"
"12","3313"
"12","3319"
"12","3323"
"12","3329"
"12","3331"
"12","3343"
"12","3347"
"12","3359"
"12","3361"
"12","3371"
"12","3373"
"12","3389"
"12","3391"
"12","3407"
"12","3413"
"12","3433"
"12","3449"
"12","3457"
"12","3461"
"12","3463"
"12","3467"
"12","3469"
"12","3491"
"12","3499"
"12","3511"
"12","3517"
"12","3527"
"12","3529"
"12","3533"
"12","3539"
"12","3541"
"12","3547"
"12","3557"
"12","3559"
"12","3571"
"12","3581"
"12","3583"
"12","3593"
"12","3607"
"12","3613"
"12","3617"
"12","3623"
"12","3631"
"12","3637"
"12","3643"
"12","3659"
"12","3671"
"12","3673"
"12","3677"
"12","3691"
"12","3697"
"12","3701"
"12","3709"
"12","3719"
"12","3727"
"12","3733"
"12","3739"
"12","3761"
"12","3767"
"12","3769"
"12","3779"
"12","3793"
"12","3797"
"12","3803"
"12","3821"
"12","3823"
"12","3833"
"12","3847"
"12","3851"
"12","3853"
"12","3863"
"12","3877"
"12","3881"
"12","3889"
"12","3907"
"12","3911"
"12","3917"
"12","3919"
"12","3923"
"12","3929"
"12","3931"
"12","3943"
"12","3947"
"12","3967"
"12","3989"
"12","4001"
"12","4003"
"12","4007"
"12","4013"
"12","4019"
"12","4021"
"12","4027"
"12","4049"
"12","4051"
"12","4057"
"12","4073"
"12","4079"
"12","4091"
"12","4093"
"13","4099"
"13","4111"
"13","4127"
"13","4129"
"13","4133"
"13","4139"
"13","4153"
"13","4157"
"13","4159"
"13","4177"
"13","4201"
"13","4211"
"13","4217"
"13","4219"
"13","4229"
"13","4231"
"13","4241"
"13","4243"
"13","4253"
"13","4259"
"13","4261"
"13","4271"
"13","4273"
"13","4283"
"13","4289"
"13","4297"
"13","4327"
"13","4337"
"13","4339"
"13","4349"
"13","4357"
"13","4363"
"13","4373"
"13","4391"
"13","4397"
"13","4409"
"13","4421"
"13","4423"
"13","4441"
"13","4447"
"13","4451"
"13","4457"
"13","4463"
"13","4481"
"13","4483"
"13","4493"
"13","4507"
"13","4513"
"13","4517"
"13","4519"
"13","4523"
"13","4547"
"13","4549"
"13","4561"
"13","4567"
"13","4583"
"13","4591"
"13","4597"
"13","4603"
"13","4621"
"13","4637"
"13","4639"
"13","4643"
"13","4649"
"13","4651"
"13","4657"
"13","4663"
"13","4673"
"13","4679"
"13","4691"
"13","4703"
"13","4721"
"13","4723"
"13","4729"
"13","4733"
"13","4751"
"13","4759"
"13","4783"
"13","4787"
"13","4789"
"13","4793"
"13","4799"
"13","4801"
"13","4813"
"13","4817"
"13","4831"
"13","4861"
"13","4871"
"13","4877"
"13","4889"
"13","4903"
"13","4909"
"13","4919"
"13","4931"
"13","4933"
"13","4937"
"13","4943"
"13","4951"
"13","4957"
"13","4967"
"13","4969"
"13","4973"
"13","4987"
"13","4993"
"13","4999"
"13","5003"
"13","5009"
"13","5011"
"13","5021"
"13","5023"
"13","5039"
"13","5051"
"13","5059"
"13","5077"
"13","5081"
"13","5087"
"13","5099"
"13","5101"
"13","5107"
"13","5113"
"13","5119"
"13","5147"
"13","5153"
"13","5167"
"13","5171"
"13","5179"
"13","5189"
"13","5197"
"13","5209"
"13","5227"
"13","5231"
"13","5233"
"13","5237"
"13","5261"
"13","5273"
"13","5279"
"13","5281"
"13","5297"
"13","5303"
"13","5309"
"13","5323"
"13","5333"
"13","5347"
"13","5351"
"13","5381"
"13","5387"
"13","5393"
"13","5399"
"13","5407"
"13","5413"
"13","5417"
"13","5419"
"13","5431"
"13","5437"
"13","5441"
"13","5443"
"13","5449"
"13","5471"
"13","5477"
"13","5479"
"13","5483"
"13","5501"
"13","5503"
"13","5507"
"13","5519"
"13","5521"
"13","5527"
"13","5531"
"13","5557"
"13","5563"
"13","5569"
"13","5573"
"13","5581"
"13","5591"
"13","5623"
"13","5639"
"13","5641"
"13","5647"
"13","5651"
"13","5653"
"13","5657"
"13","5659"
"13","5669"
"13","5683"
"13","5689"
"13","5693"
"13","5701"
"13","5711"
"13","5717"
"13","5737"
"13","5741"
"13","5743"
"13","5749"
"13","5779"
"13","5783"
"13","5791"
"13","5801"
"13","5807"
"13","5813"
"13","5821"
"13","5827"
"13","5839"
"13","5843"
"13","5849"
"13","5851"
"13","5857"
"13","5861"
"13","5867"
"13","5869"
"13","5879"
"13","5881"
"13","5897"
"13","5903"
"13","5923"
"13","5927"
"13","5939"
"13","5953"
"13","5981"
"13","5987"
"13","6007"
"13","6011"
"13","6029"
"13","6037"
"13","6043"
"13","6047"
"13","6053"
"13","6067"
"13","6073"
"13","6079"
"13","6089"
"13","6091"
"13","6101"
"13","6113"
"13","6121"
"13","6131"
"13","6133"
"13","6143"
"13","6151"
"13","6163"
"13","6173"
"13","6197"
"13","6199"
"13","6203"
"13","6211"
"13","6217"
"13","6221"
"13","6229"
"13","6247"
"13","6257"
"13","6263"
"13","6269"
"13","6271"
"13","6277"
"13","6287"
"13","6299"
"13","6301"
"13","6311"
"13","6317"
"13","6323"
"13","6329"
"13","6337"
"13","6343"
"13","6353"
"13","6359"
"13","6361"
"13","6367"
"13","6373"
"13","6379"
"13","6389"
"13","6397"
"13","6421"
"13","6427"
"13","6449"
"13","6451"
"13","6469"
"13","6473"
"13","6481"
"13","6491"
"13","6521"
"13","6529"
"13","6547"
"13","6551"
"13","6553"
"13","6563"
"13","6569"
"13","6571"
"13","6577"
"13","6581"
"13","6599"
"13","6607"
"13","6619"
"13","6637"
"13","6653"
"13","6659"
"13","6661"
"13","6673"
"13","6679"
"13","6689"
"13","6691"
"13","6701"
"13","6703"
"13","6709"
"13","6719"
"13","6733"
"13","6737"
"13","6761"
"13","6763"
"13","6779"
"13","6781"
"13","6791"
"13","6793"
"13","6803"
"13","6823"
"13","6827"
"13","6829"
"13","6833"
"13","6841"
"13","6857"
"13","6863"
"13","6869"
"13","6871"
"13","6883"
"13","6899"
"13","6907"
"13","6911"
"13","6917"
"13","6947"
"13","6949"
"13","6959"
"13","6961"
"13","6967"
"13","6971"
"13","6977"
"13","6983"
"13","6991"
"13","6997"
"13","7001"
"13","7013"
"13","7019"
"13","7027"
"13","7039"
"13","7043"
"13","7057"
"13","7069"
"13","7079"
"13","7103"
"13","7109"
"13","7121"
"13","7127"
"13","7129"
"13","7151"
"13","7159"
"13","7177"
"13","7187"
"13","7193"
"13","7207"
"13","7211"
"13","7213"
"13","7219"
"13","7229"
"13","7237"
"13","7243"
"13","7247"
"13","7253"
"13","7283"
"13","7297"
"13","7307"
"13","7309"
"13","7321"
"13","7331"
"13","7333"
"13","7349"
"13","7351"
"13","7369"
"13","7393"
"13","7411"
"13","7417"
"13","7433"
"13","7451"
"13","7457"
"13","7459"
"13","7477"
"13","7481"
"13","7487"
"13","7489"
"13","7499"
"13","7507"
"13","7517"
"13","7523"
"13","7529"
"13","7537"
"13","7541"
"13","7547"
"13","7549"
"13","7559"
"13","7561"
"13","7573"
"13","7577"
"13","7583"
"13","7589"
"13","7591"
"13","7603"
"13","7607"
"13","7621"
"13","7639"
"13","7643"
"13","7649"
"13","7669"
"13","7673"
"13","7681"
"13","7687"
"13","7691"
"13","7699"
"13","7703"
"13","7717"
"13","7723"
"13","7727"
"13","7741"
"13","7753"
"13","7757"
"13","7759"
"13","7789"
"13","7793"
"13","7817"
"13","7823"
"13","7829"
"13","7841"
"13","7853"
"13","7867"
"13","7873"
"13","7877"
"13","7879"
"13","7883"
"13","7901"
"13","7907"
"13","7919"
"13","7927"
"13","7933"
"13","7937"
"13","7949"
"13","7951"
"13","7963"
"13","7993"
"13","8009"
"13","8011"
"13","8017"
"13","8039"
"13","8053"
"13","8059"
"13","8069"
"13","8081"
"13","8087"
"13","8089"
"13","8093"
"13","8101"
"13","8111"
"13","8117"
"13","8123"
"13","8147"
"13","8161"
"13","8167"
"13","8171"
"13","8179"
"13","8191"
"14","8209"
"14","8219"
"14","8221"
"14","8231"
"14","8233"
"14","8237"
"14","8243"
"14","8263"
"14","8269"
"14","8273"
"14","8287"
"14","8291"
"14","8293"
"14","8297"
"14","8311"
"14","8317"
"14","8329"
"14","8353"
"14","8363"
"14","8369"
"14","8377"
"14","8387"
"14","8389"
"14","8419"
"14","8423"
"14","8429"
"14","8431"
"14","8443"
"14","8447"
"14","8461"
"14","8467"
"14","8501"
"14","8513"
"14","8521"
"14","8527"
"14","8537"
"14","8539"
"14","8543"
"14","8563"
"14","8573"
"14","8581"
"14","8597"
"14","8599"
"14","8609"
"14","8623"
"14","8627"
"14","8629"
"14","8641"
"14","8647"
"14","8663"
"14","8669"
"14","8677"
"14","8681"
"14","8689"
"14","8693"
"14","8699"
"14","8707"
"14","8713"
"14","8719"
"14","8731"
"14","8737"
"14","8741"
"14","8747"
"14","8753"
"14","8761"
"14","8779"
"14","8783"
"14","8803"
"14","8807"
"14","8819"
"14","8821"
"14","8831"
"14","8837"
"14","8839"
"14","8849"
"14","8861"
"14","8863"
"14","8867"
"14","8887"
"14","8893"
"14","8923"
"14","8929"
"14","8933"
"14","8941"
"14","8951"
"14","8963"
"14","8969"
"14","8971"
"14","8999"
"14","9001"
"14","9007"
"14","9011"
"14","9013"
"14","9029"
"14","9041"
"14","9043"
"14","9049"
"14","9059"
"14","9067"
"14","9091"
"14","9103"
"14","9109"
"14","9127"
"14","9133"
"14","9137"
"14","9151"
"14","9157"
"14","9161"
"14","9173"
"14","9181"
"14","9187"
"14","9199"
"14","9203"
"14","9209"
"14","9221"
"14","9227"
"14","9239"
"14","9241"
"14","9257"
"14","9277"
"14","9281"
"14","9283"
"14","9293"
"14","9311"
"14","9319"
"14","9323"
"14","9337"
"14","9341"
"14","9343"
"14","9349"
"14","9371"
"14","9377"
"14","9391"
"14","9397"
"14","9403"
"14","9413"
"14","9419"
"14","9421"
"14","9431"
"14","9433"
"14","9437"
"14","9439"
"14","9461"
"14","9463"
"14","9467"
"14","9473"
"14","9479"
"14","9491"
"14","9497"
"14","9511"
"14","9521"
"14","9533"
"14","9539"
"14","9547"
"14","9551"
"14","9587"
"14","9601"
"14","9613"
"14","9619"
"14","9623"
"14","9629"
"14","9631"
"14","9643"
"14","9649"
"14","9661"
"14","9677"
"14","9679"
"14","9689"
"14","9697"
"14","9719"
"14","9721"
"14","9733"
"14","9739"
"14","9743"
"14","9749"
"14","9767"
"14","9769"
"14","9781"
"14","9787"
"14","9791"
"14","9803"
"14","9811"
"14","9817"
"14","9829"
"14","9833"
"14","9839"
"14","9851"
"14","9857"
"14","9859"
"14","9871"
"14","9883"
"14","9887"
"14","9901"
"14","9907"
"14","9923"
"14","9929"
"14","9931"
"14","9941"
"14","9949"
"14","9967"
"14","9973"
"14","10007"
"14","10009"
"14","10037"
"14","10039"
"14","10061"
"14","10067"
"14","10069"
"14","10079"
"14","10091"
"14","10093"
"14","10099"
"14","10103"
"14","10111"
"14","10133"
"14","10139"
"14","10141"
"14","10151"
"14","10159"
"14","10163"
"14","10169"
"14","10177"
"14","10181"
"14","10193"
"14","10211"
"14","10223"
"14","10243"
"14","10247"
"14","10253"
"14","10259"
"14","10267"
"14","10271"
"14","10273"
"14","10289"
"14","10301"
"14","10303"
"14","10313"
"14","10321"
"14","10331"
"14","10333"
"14","10337"
"14","10343"
"14","10357"
"14","10369"
"14","10391"
"14","10399"
"14","10427"
"14","10429"
"14","10433"
"14","10453"
"14","10457"
"14","10459"
"14","10463"
